Strain	Accession	Date	Region	Country	Division	Authors	Journal	Title	Url	CTiter	CTiterSub	Clade Membership	Clock Length	DTiter	DTiterSub	Ep	Lbi	Ne	Num Date	Raw Date
A/Bangladesh/3002/2015	EPI685571	2015-05-06	South Asia	Bangladesh	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.10	6b	0.00	0.00	0.00	2.00	0.02	8.00	2015.35	2015-05-07
A/Vietnam/6022/2016	EPI980341	2016-04-29	Southeast Asia	Vietnam	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.10	6b	0.00	0.00	0.00	2.00	0.00	9.00	2016.33	2016-04-29
A/Tanzania/2226/2016	EPI827744	2016-04-24	Africa	Tanzania	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.10	6b	0.00	0.00	0.00	3.00	0.00	10.00	2016.31	2016-04-23
A/Rwanda/628/2016	EPI825178	2016-05-24	Africa	Rwanda	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.10	6b	0.00	0.00	0.00	2.00	0.00	11.00	2016.40	2016-05-24
A/Rwanda/626/2016	EPI825170	2016-05-24	Africa	Rwanda	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.10	6b	0.00	0.00	0.00	2.00	0.00	11.00	2016.40	2016-05-24
A/Tanzania/1495/2017	EPI1175646	2017-11-15	Africa	Tanzania	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.10	6b	0.00	0.00	0.00	3.00	0.00	9.00	2017.88	2017-11-16
A/Tanzania/4769/2017	EPI1175686	2017-11-29	Africa	Tanzania	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.10	6b	0.00	0.00	0.00	2.00	0.00	10.00	2017.91	2017-11-30
A/Tanzania/2918/2018	EPI1267157	2018-04-25	Africa	Tanzania	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.10	6b	0.00	0.00	0.00	2.00	0.00	11.00	2018.31	2018-04-25
A/Tanzania/758/2017	EPI1017744	2017-04-20	Africa	Tanzania	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.10	6b	0.00	0.00	0.00	2.00	0.00	9.00	2017.30	2017-04-20
A/Tanzania/4767/2017	EPI1175750	2017-11-29	Africa	Tanzania	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.10	6b	0.00	0.00	0.00	2.00	0.00	10.00	2017.91	2017-11-29
A/Tanzania/4777/2017	EPI1175758	2017-12-06	Africa	Tanzania	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.10	6b	0.00	0.00	0.00	2.00	0.00	11.00	2017.93	2017-12-06
A/Afghanistan/473/2016	EPI830571	2016-06-19	West Asia	Afghanistan	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.19	0.10	6b	0.00	0.00	0.00	2.00	0.00	10.00	2016.47	2016-06-18
A/Afghanistan/112/2016	EPI830595	2016-05-29	West Asia	Afghanistan	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.19	0.10	6b	0.00	0.00	0.00	2.00	0.00	11.00	2016.41	2016-05-29
A/Kenya/101/2016	EPI912122	2016-10-17	Africa	Kenya	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.19	0.10	6b	0.00	0.00	0.00	2.00	0.00	9.00	2016.80	2016-10-17
A/Ghana/DILI-16-0686/2016	EPI858963	2016-07-04	Africa	Ghana	unknown	Crick Worldwide Influenza Centre	unknown	unknown	unknown	0.19	0.10	6b	0.00	0.00	0.00	2.00	0.00	9.00	2016.51	2016-07-04
A/Kenya/17/2016	EPI986919	2016-08-10	Africa	Kenya	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.10	6b	0.00	0.00	0.00	3.00	0.00	9.00	2016.61	2016-08-10
A/Kenya/108/2016	EPI912177	2016-10-19	Africa	Kenya	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.13	6b	0.00	0.00	0.03	3.00	0.00	10.00	2016.80	2016-10-18
A/Kenya/103/2016	EPI912138	2016-10-17	Africa	Kenya	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.10	6b	0.00	0.00	0.00	2.00	0.00	10.00	2016.80	2016-10-17
A/Kenya/102/2016	EPI912130	2016-10-19	Africa	Kenya	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.10	6b	0.00	0.00	0.00	2.00	0.00	9.00	2016.80	2016-10-18
A/Kenya/104/2016	EPI1017463	2016-11-07	Africa	Kenya	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.10	6b	0.00	0.00	0.00	2.00	0.00	10.00	2016.85	2016-11-07
A/Kenya/107/2016	EPI912169	2016-10-17	Africa	Kenya	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.10	6b	0.00	0.00	0.00	2.00	0.00	8.00	2016.80	2016-10-17
A/Kenya/105/2016	EPI912154	2016-10-26	Africa	Kenya	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.10	6b	0.00	0.00	0.00	2.00	0.00	8.00	2016.82	2016-10-25
A/Kenya/106/2016	EPI912161	2016-10-19	Africa	Kenya	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.10	6b	0.00	0.00	0.00	2.00	0.00	8.00	2016.80	2016-10-18
A/Kenya/109/2016	EPI912185	2016-10-26	Africa	Kenya	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.10	6b	0.00	0.00	0.00	2.00	0.00	8.00	2016.82	2016-10-25
A/Brisbane/181/2015	EPI704084	2015-10-05	Oceania	Australia	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.00	0.10	6b1	0.00	0.00	0.00	3.00	0.02	10.00	2015.76	2015-10-06
A/Michigan/45/2015	EPI1381204	2015-09-06	North America	USA	unknown	Who Chinese National Influenza Center	unknown	unknown	unknown	0.00	0.10	6b1	0.00	0.00	0.00	3.00	0.03	9.00	2015.68	2015-09-07
A/Afghanistan/435/2016	EPI830587	2016-06-05	West Asia	Afghanistan	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.10	6b1	0.00	0.00	0.00	3.00	0.00	11.00	2016.43	2016-06-05
A/Croatia/3547/2016	EPI917115	2016-11-29	Europe	Croatia	unknown	Crick Worldwide Influenza Centre	unknown	unknown	unknown	0.00	0.10	6b1	0.00	0.00	0.00	3.00	0.00	9.00	2016.91	2016-11-28
A/NewHampshire/19/2016	EPI842085	2016-09-01	North America	USA	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.10	6b1	0.00	0.00	0.00	4.00	0.00	9.00	2016.67	2016-08-31
A/Denmark/53/2016	EPI917121	2016-11-11	Europe	Denmark	unknown	Crick Worldwide Influenza Centre	unknown	unknown	unknown	0.00	0.10	6b1	0.00	0.00	0.00	2.00	0.00	11.00	2016.86	2016-11-10
A/Congo/873/2016	EPI842210	2016-05-28	Africa	Congo	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.10	6b1	0.00	0.00	0.00	3.00	0.00	10.00	2016.41	2016-05-27
A/Oman/4783/2016	EPI830253	2016-05-20	West Asia	Oman	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.10	6b1	0.00	0.00	0.00	3.00	0.00	9.00	2016.38	2016-05-19
A/Salalah/5071/2016	EPI842532	2016-06-03	West Asia	Oman	unknown	Central Public Health Laboratory Oman	unknown	unknown	unknown	0.00	0.10	6b1	0.00	0.00	0.00	3.00	0.00	9.00	2016.42	2016-06-02
A/Oman/5071/2016	EPI832525	2016-06-03	West Asia	Oman	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.10	6b1	0.00	0.00	0.00	3.00	0.00	9.00	2016.42	2016-06-02
A/Okayama/11/2016	EPI840986	2016-04-18	Japan Korea	Japan	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.00	0.10	6b1	0.00	0.00	0.00	3.00	0.01	11.00	2016.30	2016-04-18
A/Dakar/14/2016	EPI982531	2016-11-03	Africa	Senegal	unknown	Crick Worldwide Influenza Centre	unknown	unknown	unknown	0.00	0.10	6b1	0.00	0.00	0.00	3.00	0.00	12.00	2016.84	2016-11-02
A/Toyama/90/2016	EPI840992	2016-06-01	Japan Korea	Japan	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.00	0.10	6b1	0.00	0.00	0.00	3.00	0.00	11.00	2016.42	2016-06-01
A/HongKong/2318/2016	EPI838845	2016-07-31	China	Hong Kong	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.10	6b1	0.00	0.00	0.00	3.00	0.00	11.00	2016.58	2016-07-31
A/SouthAustralia/10/2017	EPI919556	2017-01-11	Oceania	Australia	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.00	0.10	6b1	0.00	0.00	0.00	3.00	0.00	10.00	2017.03	2017-01-12
A/Lao/4688/2016	EPI1025216	2016-12-29	Southeast Asia	Laos	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.10	6b1	0.00	0.00	0.00	3.00	0.00	12.00	2017.00	2016-12-29
A/Lao/995/2017	EPI1093934	2017-03-19	Southeast Asia	Laos	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.10	6b1	0.00	0.00	0.00	4.00	0.00	13.00	2017.22	2017-03-20
A/Lao/4392/2016	EPI1025033	2016-12-06	Southeast Asia	Laos	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.10	6b1	0.00	0.00	0.00	4.00	0.00	12.00	2016.93	2016-12-05
A/Lao/4582/2016	EPI1025001	2016-12-21	Southeast Asia	Laos	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.10	6b1	0.00	0.00	0.00	4.00	0.00	10.00	2016.97	2016-12-20
A/Lao/3993/2016	EPI1025113	2016-11-15	Southeast Asia	Laos	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.10	6b1	0.00	0.00	0.00	4.00	0.00	10.00	2016.88	2016-11-15
A/Lao/306/2017	EPI1025192	2017-01-23	Southeast Asia	Laos	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.10	6b1	0.00	0.00	0.00	5.00	0.00	10.00	2017.07	2017-01-24
A/Lao/F0726/2017	EPI1027193	2017-02-27	Southeast Asia	Laos	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.00	0.10	6b1	0.00	0.00	0.00	4.00	0.00	10.00	2017.16	2017-02-27
A/Lao/656/2017	EPI1017415	2017-02-20	Southeast Asia	Laos	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.10	6b1	0.00	0.00	0.00	4.00	0.00	10.00	2017.14	2017-02-20
A/Lao/157/2017	EPI1024961	2017-01-14	Southeast Asia	Laos	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.10	6b1	0.00	0.00	0.00	4.00	0.00	12.00	2017.04	2017-01-14
A/Gunma/182/2016	EPI881894	2016-11-11	Japan Korea	Japan	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.00	0.10	6b1	0.00	0.00	0.00	3.00	0.00	10.00	2016.86	2016-11-10
A/Aichi/131/2016	EPI881890	2016-11-15	Japan Korea	Japan	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.00	0.10	6b1	0.00	0.00	0.00	3.00	0.00	10.00	2016.88	2016-11-15
A/Aichi/137/2016	EPI943338	2016-11-22	Japan Korea	Japan	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.00	0.10	6b1	0.00	0.00	0.00	3.00	0.00	10.00	2016.90	2016-11-22
A/Chanthaburi/111/2016	EPI825194	2016-05-13	Southeast Asia	Thailand	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.10	6b1	0.00	0.00	0.00	3.00	0.00	10.00	2016.37	2016-05-13
A/Oita/23/2016	EPI858878	2016-09-30	Japan Korea	Japan	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.00	0.10	6b1	0.00	0.00	0.00	4.00	0.00	10.00	2016.75	2016-09-29
A/Lao/213/2017	EPI1025200	2017-01-17	Southeast Asia	Laos	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.10	6b1	0.00	0.00	0.00	3.00	0.00	10.00	2017.05	2017-01-17
A/Lao/4586/2016	EPI1025232	2016-12-22	Southeast Asia	Laos	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.10	6b1	0.00	0.00	0.00	3.00	0.00	10.00	2016.97	2016-12-21
A/Lao/4378/2016	EPI1025041	2016-12-06	Southeast Asia	Laos	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.10	6b1	0.00	0.00	0.00	4.00	0.00	13.00	2016.93	2016-12-05
A/Oman/8208/2016	EPI982565	2016-07-03	West Asia	Oman	unknown	Crick Worldwide Influenza Centre	unknown	unknown	unknown	0.00	0.10	6b1	0.00	0.00	0.00	3.00	0.00	11.00	2016.51	2016-XX-XX
A/Lao/4573/2016	EPI1025009	2016-12-19	Southeast Asia	Laos	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.10	6b1	0.00	0.00	0.00	3.00	0.00	12.00	2016.97	2016-12-19
A/Lao/3711/2016	EPI912042	2016-10-31	Southeast Asia	Laos	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.10	6b1	0.00	0.00	0.00	3.00	0.00	11.00	2016.84	2016-10-31
A/Lao/F2335/2016	EPI846002	2016-08-02	Southeast Asia	Laos	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.00	0.10	6b1	0.00	0.00	0.00	3.00	0.00	10.00	2016.59	2016-08-01
A/Lao/F0550/2017	EPI1027191	2017-02-13	Southeast Asia	Laos	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.00	0.10	6b1	0.00	0.00	0.00	3.00	0.00	13.00	2017.12	2017-02-14
A/Lao/6/2016	EPI1024993	2016-12-30	Southeast Asia	Laos	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.10	6b1	0.00	0.00	0.00	3.00	0.00	13.00	2017.00	2016-12-30
A/Lao/3341/2016	EPI911970	2016-10-11	Southeast Asia	Laos	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.37	0.10	6b1	0.00	0.00	0.00	3.00	0.00	11.00	2016.78	2016-10-10
A/Lao/3392/2016	EPI911994	2016-10-13	Southeast Asia	Laos	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.37	0.10	6b1	0.00	0.00	0.00	3.00	0.00	11.00	2016.79	2016-10-13
A/Yasothon/404/2016	EPI917707	2016-10-27	Southeast Asia	Thailand	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.37	0.10	6b1	0.00	0.00	0.00	3.00	0.00	11.00	2016.82	2016-10-26
A/Lao/F2617/2016	EPI864898	2016-08-29	Southeast Asia	Laos	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.37	0.10	6b1	0.00	0.00	0.00	3.00	0.00	11.00	2016.66	2016-08-29
A/Lao/2618/2016	EPI870991	2016-08-29	Southeast Asia	Laos	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.37	0.10	6b1	0.00	0.00	0.00	3.00	0.00	11.00	2016.66	2016-08-29
A/Lao/2876/2016	EPI871023	2016-09-20	Southeast Asia	Laos	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.10	6b1	0.00	0.00	0.00	3.00	0.00	13.00	2016.72	2016-09-19
A/Lao/3816/2016	EPI912074	2016-11-06	Southeast Asia	Laos	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.10	6b1	0.00	0.00	0.00	3.00	0.00	12.00	2016.85	2016-11-05
A/Lao/9/2016	EPI1024985	2016-12-30	Southeast Asia	Laos	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.10	6b1	0.00	0.00	0.00	3.00	0.00	13.00	2017.00	2016-12-30
A/Lao/4633/2016	EPI1025224	2016-12-26	Southeast Asia	Laos	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.10	6b1	0.00	0.00	0.00	3.00	0.00	13.00	2016.99	2016-12-26
A/Lao/2981/2016	EPI871063	2016-09-27	Southeast Asia	Laos	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.10	6b1	0.00	0.00	0.00	3.00	0.00	12.00	2016.74	2016-09-26
A/Lao/3065/2016	EPI871087	2016-09-30	Southeast Asia	Laos	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.10	6b1	0.00	0.00	0.00	3.00	0.00	12.00	2016.75	2016-09-29
A/Lao/3175/2016	EPI880518	2016-10-04	Southeast Asia	Laos	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.10	6b1	0.00	0.00	0.00	3.00	0.00	12.00	2016.76	2016-10-03
A/Lao/365/2017	EPI1024937	2017-01-29	Southeast Asia	Laos	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.10	6b1	0.00	0.00	0.00	3.00	0.00	11.00	2017.08	2017-01-30
A/Lao/1448/2017	EPI1093966	2017-05-05	Southeast Asia	Laos	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.10	6b1	0.00	0.00	0.00	3.00	0.00	13.00	2017.34	2017-05-05
A/Fukui/5/2017	EPI1002832	2017-01-15	Japan Korea	Japan	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.00	0.10	6b1	0.00	0.00	0.00	3.00	0.00	13.00	2017.04	2017-01-15
A/Fukui/60/2016	EPI970776	2016-12-10	Japan Korea	Japan	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.00	0.10	6b1	0.00	0.00	0.00	3.00	0.00	12.00	2016.94	2016-12-09
A/Nagano/2050/2017	EPI1044561	2017-01-29	Japan Korea	Japan	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.00	0.10	6b1	0.00	0.00	0.00	3.00	0.00	12.00	2017.08	2017-01-30
A/Lao/1035/2017	EPI1093942	2017-03-23	Southeast Asia	Laos	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.10	6b1	0.00	0.00	0.00	3.00	0.00	10.00	2017.23	2017-03-24
A/Lao/176/2017	EPI1024953	2017-01-15	Southeast Asia	Laos	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.10	6b1	0.00	0.00	0.00	3.00	0.00	11.00	2017.04	2017-01-16
A/Lao/50/2017	EPI1025168	2017-01-06	Southeast Asia	Laos	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.10	6b1	0.00	0.00	0.00	3.00	0.00	11.00	2017.02	2017-01-06
A/Saitama/111/2016	EPI869839	2016-10-31	Japan Korea	Japan	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.00	0.10	6b1	0.00	0.00	0.00	3.00	0.00	10.00	2016.83	2016-10-30
A/Osaka-C/40/2016	EPI869821	2016-10-08	Japan Korea	Japan	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.00	0.10	6b1	0.00	0.00	0.00	3.00	0.00	11.00	2016.77	2016-10-07
